Category	Value	Population	Cancer	Count	Prop
Overweight	Current Overweight	22924	Bladder	79.0	0.3446169952887803
Overweight	Not known	22422	Bladder	51.0	0.22745517795022746
Overweight	Never Overweight	10009	Bladder	24.0	0.2397841942251973
Overweight	Former Overweight	2061	Bladder	9.0	0.4366812227074236
Gender	Female	31892	Haematological	236.0	0.739997491533927
Gender	Male	25524	Haematological	279.0	1.0930888575458393
Ethnicity	Bangladeshi	33353	Haematological	242.0	0.7255719125715827
Ethnicity	Pakistani	24063	Haematological	273.0	1.1345218800648298
BirthCountry	Unknown	36260	Haematological	333.0	0.9183673469387755
BirthCountry	Bangladesh	14054	Haematological	109.0	0.7755799060765618
BirthCountry	Pakistan	4297	Haematological	53.0	1.2334186641843146
BirthCountry	Great Britain	2369	Haematological	16.0	0.6753904601097509
BirthCountry	Other	351	Haematological	1.0	0.2849002849002849
BirthCountry	India	85	Haematological	3.0	3.5294117647058822
Region	London	50174	Haematological	459.0	0.9148164387930003
Region	Bradford 	5239	Haematological	42.0	0.8016797098682955
Region	Manchester	1562	Haematological	11.0	0.704225352112676
Region		441	Haematological	3.0	0.6802721088435374
Smoking	Not known	24612	Haematological	194.0	0.7882333820900373
Smoking	Former Smoker	13761	Haematological	164.0	1.1917738536443572
Smoking	Non-Smoker	11964	Haematological	74.0	0.6185222333667669
Smoking	Current Smoker	7079	Haematological	83.0	1.1724819889814946
Alcohol	Not known	27632	Haematological	233.0	0.8432252460914881
Alcohol	Non-Drinker	20319	Haematological	178.0	0.8760273635513559
Alcohol	Former Drinker	7325	Haematological	86.0	1.174061433447099
Alcohol	Current Drinker	2140	Haematological	18.0	0.8411214953271028
Overweight	Current Overweight	22924	Haematological	269.0	1.1734426801605304
Overweight	Not known	22422	Haematological	156.0	0.6957452502006958
Overweight	Never Overweight	10009	Haematological	62.0	0.6194425017484264
Overweight	Former Overweight	2061	Haematological	28.0	1.3585638039786512
Gender	Female	31892	Lung	37.0	0.11601655587608177
Gender	Male	25524	Lung	93.0	0.3643629525152797
Ethnicity	Bangladeshi	33353	Lung	87.0	0.26084610080052767
Ethnicity	Pakistani	24063	Lung	43.0	0.1786975855047168
BirthCountry	Unknown	36260	Lung	78.0	0.2151130722559294
BirthCountry	Bangladesh	14054	Lung	38.0	0.2703856553294436
BirthCountry	Pakistan	4297	Lung	12.0	0.27926460321154295
BirthCountry	Great Britain	2369	Lung	1.0	0.04221190375685943
BirthCountry	Other	351	Lung	1.0	0.2849002849002849
BirthCountry	India	85	Lung		
Region	London	50174	Lung	125.0	0.2491330171004903
Region	Bradford 	5239	Lung	4.0	0.07635044855888529
Region	Manchester	1562	Lung	1.0	0.06402048655569782
Region		441	Lung		
Smoking	Not known	24612	Lung	19.0	0.07719811474077685
Smoking	Former Smoker	13761	Lung	52.0	0.37787951457016206
Smoking	Non-Smoker	11964	Lung	15.0	0.12537612838515547
Smoking	Current Smoker	7079	Lung	44.0	0.6215567170504308
Alcohol	Not known	27632	Lung	36.0	0.13028372900984367
Alcohol	Non-Drinker	20319	Lung	58.0	0.28544711846055415
Alcohol	Former Drinker	7325	Lung	31.0	0.4232081911262799
Alcohol	Current Drinker	2140	Lung	5.0	0.2336448598130841
Overweight	Current Overweight	22924	Lung	61.0	0.2660966672482987
Overweight	Not known	22422	Lung	23.0	0.10257782535010258
Overweight	Never Overweight	10009	Lung	31.0	0.3097212508742132
Overweight	Former Overweight	2061	Lung	15.0	0.727802037845706
Gender	Female	31892	Lymphoma	72.0	0.22576194656967263
Gender	Male	25524	Lymphoma	121.0	0.4740636263908478
Ethnicity	Bangladeshi	33353	Lymphoma	84.0	0.251851407669475
Ethnicity	Pakistani	24063	Lymphoma	109.0	0.4529776004654449
BirthCountry	Unknown	36260	Lymphoma	125.0	0.34473248758963043
BirthCountry	Bangladesh	14054	Lymphoma	37.0	0.2632702433470898
BirthCountry	Pakistan	4297	Lymphoma	22.0	0.5119851058878288
BirthCountry	Great Britain	2369	Lymphoma	8.0	0.33769523005487545
BirthCountry	Other	351	Lymphoma		
BirthCountry	India	85	Lymphoma	1.0	1.1764705882352942
Region	London	50174	Lymphoma	174.0	0.3467931598038825
Region	Bradford 	5239	Lymphoma	13.0	0.24813895781637718
Region	Manchester	1562	Lymphoma	5.0	0.3201024327784891
Region		441	Lymphoma	1.0	0.22675736961451248
Smoking	Not known	24612	Lymphoma	76.0	0.3087924589631074
Smoking	Former Smoker	13761	Lymphoma	67.0	0.48688322069617035
Smoking	Non-Smoker	11964	Lymphoma	21.0	0.17552657973921765
Smoking	Current Smoker	7079	Lymphoma	29.0	0.40966238169232944
Alcohol	Not known	27632	Lymphoma	90.0	0.32570932252460916
Alcohol	Non-Drinker	20319	Lymphoma	66.0	0.32481913479994096
Alcohol	Former Drinker	7325	Lymphoma	32.0	0.43686006825938567
Alcohol	Current Drinker	2140	Lymphoma	5.0	0.2336448598130841
Overweight	Current Overweight	22924	Lymphoma	100.0	0.43622404466934217
Overweight	Not known	22422	Lymphoma	61.0	0.27205423245027205
Overweight	Never Overweight	10009	Lymphoma	19.0	0.18982915376161455
Overweight	Former Overweight	2061	Lymphoma	13.0	0.6307617661329452
Gender	Male	25524	Male genital	222.0	0.8697696285848613
Ethnicity	Bangladeshi	15444	Male genital	79.0	0.5115255115255115
Ethnicity	Pakistani	10080	Male genital	143.0	1.4186507936507937
BirthCountry	Unknown	15604	Male genital	153.0	0.9805178159446296
BirthCountry	Bangladesh	6908	Male genital	43.0	0.6224667052692531
BirthCountry	Pakistan	1952	Male genital	18.0	0.9221311475409836
BirthCountry	Great Britain	857	Male genital	1.0	0.11668611435239207
BirthCountry	Other	154	Male genital	3.0	1.948051948051948
BirthCountry	India	49	Male genital	4.0	8.16326530612245
Region	London	22729	Male genital	198.0	0.8711337938316688
Region	Bradford 	1727	Male genital	17.0	0.9843659525188188
Region	Manchester	905	Male genital	7.0	0.7734806629834254
Region		163	Male genital		
Smoking	Not known	10223	Male genital	77.0	0.7532035605986501
Smoking	Former Smoker	6172	Male genital	81.0	1.3123784834737524
Smoking	Current Smoker	5358	Male genital	44.0	0.8212019410227697
Smoking	Non-Smoker	3771	Male genital	20.0	0.5303632988597189
Alcohol	Not known	12028	Male genital	100.0	0.8313934153641503
Alcohol	Non-Drinker	8711	Male genital	80.0	0.9183790609574102
Alcohol	Former Drinker	3634	Male genital	34.0	0.9356081452944414
Alcohol	Current Drinker	1151	Male genital	8.0	0.6950477845351868
Overweight	Not known	10118	Male genital	59.0	0.5831191935165052
Overweight	Current Overweight	9535	Male genital	119.0	1.2480335605663346
Overweight	Never Overweight	4818	Male genital	32.0	0.66417600664176
Overweight	Former Overweight	1053	Male genital	12.0	1.1396011396011396
Gender	Female	31892	Thyroid	87.0	0.2727956854383545
Gender	Male	25524	Thyroid	34.0	0.13320796113461839
Ethnicity	Bangladeshi	33353	Thyroid	78.0	0.23386202140736964
Ethnicity	Pakistani	24063	Thyroid	43.0	0.1786975855047168
BirthCountry	Unknown	36260	Thyroid	72.0	0.19856591285162714
BirthCountry	Bangladesh	14054	Thyroid	35.0	0.24903941938238225
BirthCountry	Pakistan	4297	Thyroid	8.0	0.18617640214102862
BirthCountry	Great Britain	2369	Thyroid	6.0	0.2532714225411566
BirthCountry	Other	351	Thyroid		
BirthCountry	India	85	Thyroid		
Region	London	50174	Thyroid	106.0	0.21126479850121577
Region	Bradford 	5239	Thyroid	11.0	0.20996373353693454
Region	Manchester	1562	Thyroid	3.0	0.19206145966709348
Region		441	Thyroid	1.0	0.22675736961451248
Smoking	Not known	24612	Thyroid	51.0	0.20721599219892736
Smoking	Former Smoker	13761	Thyroid	26.0	0.18893975728508103
Smoking	Non-Smoker	11964	Thyroid	34.0	0.2841858910063524
Smoking	Current Smoker	7079	Thyroid	10.0	0.14126289023873428
Alcohol	Not known	27632	Thyroid	56.0	0.2026635784597568
Alcohol	Non-Drinker	20319	Thyroid	45.0	0.22146759190905063
Alcohol	Former Drinker	7325	Thyroid	17.0	0.23208191126279865
Alcohol	Current Drinker	2140	Thyroid	3.0	0.14018691588785046
Overweight	Current Overweight	22924	Thyroid	58.0	0.25300994590821846
Overweight	Not known	22422	Thyroid	36.0	0.16055659620016055
Overweight	Never Overweight	10009	Thyroid	22.0	0.2198021780397642
Overweight	Former Overweight	2061	Thyroid	5.0	0.242600679281902
Gender	Female	31892	Cervical	137.0	0.4295748150006271
Ethnicity	Bangladeshi	17909	Cervical	75.0	0.41878385169467863
Ethnicity	Pakistani	13983	Cervical	62.0	0.4433955517414003
BirthCountry	Unknown	20656	Cervical	81.0	0.3921378776142525
BirthCountry	Bangladesh	7146	Cervical	35.0	0.4897844948222782
BirthCountry	Pakistan	2345	Cervical	13.0	0.5543710021321961
BirthCountry	Great Britain	1512	Cervical	7.0	0.46296296296296297
BirthCountry	Other	197	Cervical	1.0	0.5076142131979695
BirthCountry	India	36	Cervical		
Region	London	27445	Cervical	122.0	0.4445254144652942
Region	Bradford 	3512	Cervical	13.0	0.3701594533029613
Region	Manchester	657	Cervical	2.0	0.30441400304414
Region		278	Cervical		
Smoking	Not known	14389	Cervical	45.0	0.3127388977691292
Smoking	Non-Smoker	8193	Cervical	46.0	0.5614549005248383
Smoking	Former Smoker	7589	Cervical	37.0	0.48754776650415077
Smoking	Current Smoker	1721	Cervical	9.0	0.5229517722254503
Alcohol	Not known	15604	Cervical	50.0	0.32043065880543453
Alcohol	Non-Drinker	11608	Cervical	57.0	0.4910406616126809
Alcohol	Former Drinker	3691	Cervical	23.0	0.6231373611487402
Alcohol	Current Drinker	989	Cervical	7.0	0.7077856420626896
Overweight	Current Overweight	13389	Cervical	64.0	0.47800433191425795
Overweight	Not known	12304	Cervical	35.0	0.28446033810143045
Overweight	Never Overweight	5191	Cervical	28.0	0.5393951069158158
Overweight	Former Overweight	1008	Cervical	10.0	0.9920634920634921
