cancer	action	gene_count	sample_count	consequence	hit_count	hit_prop
Skin	Responsive	15	122	LoF+Deleterious	5	4.098360656
Skin	Non-responsive	12	122	LoF+Deleterious+Possibly Deleterious	23	18.85245902
Skin	Responsive	15	122	LoF+Deleterious+Possibly Deleterious	29	23.7704918
Solid	Responsive	1	1846	LoF	0	0
Solid	Responsive	1	1846	LoF+Deleterious	0	0
Solid	Responsive	1	1846	LoF+Deleterious+Possibly Deleterious	124	6.717226436
Thyroid	Non-responsive	1	93	LoF	0	0
Thyroid	Responsive	6	93	LoF	0	0
Thyroid	Non-responsive	1	93	LoF+Deleterious	0	0
Thyroid	Responsive	6	93	LoF+Deleterious	4	4.301075269
Thyroid	Non-responsive	1	93	LoF+Deleterious+Possibly Deleterious	3	3.225806452
Thyroid	Responsive	6	93	LoF+Deleterious+Possibly Deleterious	10	10.75268817
Urinary	Non-responsive	1	175	LoF	0	0
Urinary	Responsive	14	175	LoF	2	1.142857143
Urinary	Non-responsive	1	175	LoF+Deleterious	0	0
Urinary	Responsive	14	175	LoF+Deleterious	22	12.57142857
Urinary	Non-responsive	1	175	LoF+Deleterious+Possibly Deleterious	0	0
Urinary	Responsive	14	175	LoF+Deleterious+Possibly Deleterious	76	43.42857143
Uterine	Non-responsive	3	76	LoF	0	0
Uterine	Responsive	11	76	LoF	0	0
Uterine	Non-responsive	3	76	LoF+Deleterious	2	2.631578947
Uterine	Responsive	11	76	LoF+Deleterious	6	7.894736842
Uterine	Non-responsive	3	76	LoF+Deleterious+Possibly Deleterious	3	3.947368421
Uterine	Responsive	11	76	LoF+Deleterious+Possibly Deleterious	18	23.68421053
